INFO 2024-11-06 17:50:26,335 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/utils.py first seen with mtime 1730154309.8780348
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/opcode.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/glob.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/uploadedfile.py first seen with mtime 1730154309.8780348
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/json/scanner.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/asyncio/mixins.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/conf/locale/__init__.py first seen with mtime 1730154309.210029
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/sysconfig.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/checks/files.py first seen with mtime 1730154309.8750348
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/views/main.py first seen with mtime 1730154309.4100306
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1730154309.873035
DEBUG 2024-11-06 17:50:26,438 autoreload File /usr/lib/python3.12/email/mime/message.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,438 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/urls.py first seen with mtime 1730842458.3591459
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/email/_parseaddr.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/email/mime/__init__.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/zoneinfo/__init__.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/email/header.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/aggregates.py first seen with mtime 1730154309.908035
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/wsgi.py first seen with mtime 1730154309.8720348
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/filters/tokens.py first seen with mtime 1729982439.5408387
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/asyncio/protocols.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/selectors.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/multiprocessing/__init__.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1730154309.874035
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/re/_compiler.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/checks/caches.py first seen with mtime 1730154309.8750348
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1730154309.9210353
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/images.py first seen with mtime 1730154309.877035
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/_os.py first seen with mtime 1730154309.9520357
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/views/static.py first seen with mtime 1730154309.9630356
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/decimal.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /usr/lib/python3.12/html/entities.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,439 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/sites.py first seen with mtime 1730154309.2930295
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/zoneinfo/_common.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/public_site/urls.py first seen with mtime 1730156227.814909
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/email/headerregistry.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/asyncio/transports.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/auth/base_user.py first seen with mtime 1730154309.454031
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/lookups.py first seen with mtime 1730154309.9100351
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/checks/async_checks.py first seen with mtime 1730154309.874035
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1730154309.908035
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/template/smartif.py first seen with mtime 1730154309.9440355
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/models/servico_forma_contato.py first seen with mtime 1730915169.0072901
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/email/utils.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/encodings/__init__.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /usr/lib/python3.12/quopri.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/filters/output.py first seen with mtime 1729982439.5398388
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1730154309.8700347
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/backends/base/__init__.py first seen with mtime 1730154309.892035
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/migrations/exceptions.py first seen with mtime 1730154309.904035
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/utils.py first seen with mtime 1730154309.2940295
DEBUG 2024-11-06 17:50:26,440 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/exceptions.py first seen with mtime 1730154309.8720348
DEBUG 2024-11-06 17:50:26,441 autoreload File /usr/lib/python3.12/importlib/_abc.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,441 autoreload File /usr/lib/python3.12/datetime.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1730154309.907035
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/middleware/cache.py first seen with mtime 1730154309.9390354
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/template/exceptions.py first seen with mtime 1730154309.9430354
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/template/engine.py first seen with mtime 1730154309.9430354
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/tokens.py first seen with mtime 1729982439.5388389
DEBUG 2024-11-06 17:50:26,441 autoreload File /usr/lib/python3.12/email/mime/text.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1730154309.2910295
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/http/request.py first seen with mtime 1730154309.9380355
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/widgets.py first seen with mtime 1730154309.9230354
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1730154309.777034
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/views/decorators/__init__.py first seen with mtime 1730154309.9630356
DEBUG 2024-11-06 17:50:26,441 autoreload File /usr/lib/python3.12/socket.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/backends/sqlite3/client.py first seen with mtime 1730154309.902035
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/constants.py first seen with mtime 1730154309.9090352
DEBUG 2024-11-06 17:50:26,441 autoreload File /usr/lib/python3.12/secrets.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/sessions/backends/base.py first seen with mtime 1730154309.778034
DEBUG 2024-11-06 17:50:26,441 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/urls/__init__.py first seen with mtime 1730154309.9510355
DEBUG 2024-11-06 17:50:26,442 autoreload File /usr/lib/python3.12/tokenize.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1730154309.4990315
DEBUG 2024-11-06 17:50:26,442 autoreload File /usr/lib/python3.12/asyncio/subprocess.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/checks/security/__init__.py first seen with mtime 1730154309.876035
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/admin/models.py first seen with mtime 1730154309.2930295
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1730154309.5030315
DEBUG 2024-11-06 17:50:26,442 autoreload File /usr/lib/python3.12/keyword.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/template/loaders/cached.py first seen with mtime 1730154309.9460354
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/query.py first seen with mtime 1730154309.9120352
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/migrations/__init__.py first seen with mtime 1730154309.904035
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/storage/mixins.py first seen with mtime 1730154309.879035
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/deletion.py first seen with mtime 1730154309.9090352
DEBUG 2024-11-06 17:50:26,442 autoreload File /usr/lib/python3.12/argparse.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/auth/middleware.py first seen with mtime 1730154309.455031
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/views/__init__.py first seen with mtime 1730154309.9620357
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1730154309.879035
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1730154309.9030352
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/options.py first seen with mtime 1730154309.9110353
DEBUG 2024-11-06 17:50:26,442 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1730154309.9230354
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/multiprocessing/process.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/asyncio/taskgroups.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/typing.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/dispatch/dispatcher.py first seen with mtime 1730154309.9200354
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/Documentos/lucas/univesp/pi2_univesp/lava_jato/private_site/models/agendamento.py first seen with mtime 1730243065.4516265
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/re/_casefix.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/query_utils.py first seen with mtime 1730154309.9120352
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/forms/formsets.py first seen with mtime 1730154309.9220352
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/__init__.py first seen with mtime 1730154309.8710349
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/html/parser.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/_compat_pickle.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/tree.py first seen with mtime 1730154309.9600356
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/numbers.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/cli.py first seen with mtime 1729982439.5378387
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/contrib/auth/signals.py first seen with mtime 1730154309.456031
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1730154309.8780348
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/formatter.py first seen with mtime 1729982439.5378387
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/sqlparse/filters/reindent.py first seen with mtime 1729982439.5408387
DEBUG 2024-11-06 17:50:26,443 autoreload File /usr/lib/python3.12/asyncio/base_tasks.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,443 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/sql/query.py first seen with mtime 1730154309.9190352
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/views/defaults.py first seen with mtime 1730154309.9620357
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/utils/dateparse.py first seen with mtime 1730154309.9540355
DEBUG 2024-11-06 17:50:26,444 autoreload File /home/achcarlucas/univesp_env/lib/python3.12/site-packages/django/db/models/fields/__init__.py first seen with mtime 1730154309.9130352
DEBUG 2024-11-06 17:50:26,444 autoreload File /usr/lib/python3.12/asyncio/log.py first seen with mtime 1726064257.0
DEBUG 2024-11-06 17:50:26,444 autoreload File /usr/lib/python3.12/concurrent/futures/thread.py first seen with mtime 1726064257.0
